Start,End,Rate
01/01/1900,31/03/2020,1
01/04/2020,30/04/2020,1
01/05/2020,31/05/2020,0.92
01/06/2020,30/06/2020,0.83
01/07/2020,31/07/2020,0.75
01/08/2020,31/08/2020,0.67
01/09/2020,30/09/2020,0.58
01/10/2020,31/10/2020,0.5
01/11/2020,30/11/2020,0.42
01/12/2020,31/12/2020,0.33
01/01/2021,31/01/2021,0.25
01/02/2021,28/02/2021,0.17
01/03/2021,31/03/2021,0.08
01/04/2021,31/12/9999,0
